year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route
2025,42002152,212-1,강릉-동진버스,ride,2,4200252,신영극장,2577,14342,17.968205,True
2025,42002152,212-1,강릉-동진버스,ride,3,4201043,안목,924,14342,6.442616,True
2025,42002152,212-1,강릉-동진버스,ride,4,4200721,강릉역,878,14342,6.12188,True
2025,42002152,212-1,강릉-동진버스,ride,5,4200119,터미널오거리,521,14342,3.632687,True
2025,42002153,300-2(강릉역),강릉-동진버스,goff,1,4200252,신영극장,371,1090,34.036697,True
2025,42002153,300-2(강릉역),강릉-동진버스,goff,2,4200249,용강동서부시장,95,1090,8.715596,True
2025,42002153,300-2(강릉역),강릉-동진버스,goff,3,4200293,강릉역건너편,62,1090,5.688073,True
2025,42002153,300-2(강릉역),강릉-동진버스,goff,4,4201227,연곡면사무소,44,1090,4.036697,True
2025,42002153,300-2(강릉역),강릉-동진버스,goff,5,4200247,강릉제일고,37,1090,3.394495,True
2025,42002153,300-2(강릉역),강릉-동진버스,goff,5,4201206,입암2.3주공,37,1090,3.394495,True
2025,42002153,300-2(강릉역),강릉-동진버스,ride,1,4200252,신영극장,210,2151,9.762901,True
2025,42002153,300-2(강릉역),강릉-동진버스,ride,2,4200197,작은다리,184,2151,8.554161,True
2025,42002153,300-2(강릉역),강릉-동진버스,ride,3,4200201,양조장,172,2151,7.996281,True
2025,42002153,300-2(강릉역),강릉-동진버스,ride,4,4200317,강릉아산병원.강릉약국,144,2151,6.694561,True
2025,42002153,300-2(강릉역),강릉-동진버스,ride,5,4201232,원마트,112,2151,5.206881,True
2025,42091001,200,강릉-동해상사,goff,1,4200252,신영극장,12053,64059,18.815467,True
2025,42091001,200,강릉-동해상사,goff,2,4200253,교보생명,8824,64059,13.774801,True
2025,42091001,200,강릉-동해상사,goff,3,4201044,안목커피거리,3831,64059,5.980424,True
2025,42091001,200,강릉-동해상사,goff,4,4200356,강원대학교,2755,64059,4.300723,True
2025,42091001,200,강릉-동해상사,goff,5,4200249,용강동서부시장,2695,64059,4.207059,True
2025,42091001,200,강릉-동해상사,ride,1,4200252,신영극장,24245,141248,17.164845,True
2025,42091001,200,강릉-동해상사,ride,2,4200356,강원대학교,12657,141248,8.960835,True
2025,42091001,200,강릉-동해상사,ride,3,4200253,교보생명,10398,141248,7.36152,True
2025,42091001,200,강릉-동해상사,ride,4,4200087,강원대학교후문,9028,141248,6.391595,True
2025,42091001,200,강릉-동해상사,ride,5,4200088,문성고등학교,6283,141248,4.448205,True
2025,42091002,202,강릉-동해상사,goff,1,4200253,교보생명,13211,63457,20.818822,True
2025,42091002,202,강릉-동해상사,goff,2,4200293,강릉역건너편,7336,63457,11.560584,True
2025,42091002,202,강릉-동해상사,goff,3,4200120,강릉시외.고속터미널,6618,63457,10.429109,True
2025,42091002,202,강릉-동해상사,goff,4,4201242,경포해변,5754,63457,9.067558,True
2025,42091002,202,강릉-동해상사,goff,5,4200127,구름다리,3088,63457,4.866287,True
2025,42091002,202,강릉-동해상사,ride,1,4200253,교보생명,20409,108313,18.842614,True
2025,42091002,202,강릉-동해상사,ride,2,4201242,경포해변,14144,108313,13.058451,True
2025,42091002,202,강릉-동해상사,ride,3,4201260,강문해변입구,10464,108313,9.66089,True
2025,42091002,202,강릉-동해상사,ride,4,4200251,한국은행,7956,108313,7.345379,True
2025,42091002,202,강릉-동해상사,ride,5,4200293,강릉역건너편,5067,108313,4.678109,True
2025,42091003,206,강릉-동해상사,goff,1,4200252,신영극장,15497,77251,20.060582,True
2025,42091003,206,강릉-동해상사,goff,2,4200253,교보생명,8112,77251,10.500835,True
2025,42091003,206,강릉-동해상사,goff,3,4200120,강릉시외.고속터미널,5086,77251,6.583734,True
2025,42091003,206,강릉-동해상사,goff,4,4200249,용강동서부시장,4019,77251,5.202522,True
2025,42091003,206,강릉-동해상사,goff,5,4200127,구름다리,3860,77251,4.996699,True
2025,42091003,206,강릉-동해상사,ride,1,4200253,교보생명,23430,168745,13.884856,True
2025,42091003,206,강릉-동해상사,ride,2,4200252,신영극장,19656,168745,11.648345,True
2025,42091003,206,강릉-동해상사,ride,3,4200128,구름다리,11122,168745,6.59101,True
2025,42091003,206,강릉-동해상사,ride,4,4200121,강릉시외.고속터미널,10792,168745,6.395449,True
2025,42091003,206,강릉-동해상사,ride,5,4200251,한국은행,9947,168745,5.894693,True
2025,42091004,207,강릉-동해상사,goff,1,4200252,신영극장,9161,49155,18.636965,True
2025,42091004,207,강릉-동해상사,goff,2,4200253,교보생명,5569,49155,11.329468,True
2025,42091004,207,강릉-동해상사,goff,3,4200120,강릉시외.고속터미널,2575,49155,5.238531,True
2025,42091004,207,강릉-동해상사,goff,4,4200047,강릉고정문,2366,49155,4.813346,True
2025,42091004,207,강릉-동해상사,goff,5,4200249,용강동서부시장,2189,49155,4.45326,True
2025,42091004,207,강릉-동해상사,ride,1,4200253,교보생명,11812,97887,12.066975,True
2025,42091004,207,강릉-동해상사,ride,2,4200252,신영극장,10775,97887,11.00759,True
2025,42091004,207,강릉-동해상사,ride,3,4200121,강릉시외.고속터미널,6651,97887,6.794569,True
2025,42091004,207,강릉-동해상사,ride,4,4200251,한국은행,5124,97887,5.234607,True
2025,42091004,207,강릉-동해상사,ride,5,4200124,우편집중국,4264,97887,4.356043,True
2025,42091005,300,강릉-동해상사,goff,1,4200253,교보생명,67060,317430,21.125918,True
2025,42091005,300,강릉-동해상사,goff,2,4200196,작은다리,18551,317430,5.844123,True
2025,42091005,300,강릉-동해상사,goff,3,4200721,강릉역,15785,317430,4.97275,True
2025,42091005,300,강릉-동해상사,goff,4,4200198,원마트,12426,317430,3.914564,True
2025,42091005,300,강릉-동해상사,goff,5,4200418,강릉아산병원.강릉약국,12345,317430,3.889046,True
2025,42091005,300,강릉-동해상사,ride,1,4200253,교보생명,119014,622536,19.117609,True
2025,42091005,300,강릉-동해상사,ride,2,4200721,강릉역,52904,622536,8.498143,True
2025,42091005,300,강릉-동해상사,ride,3,4200251,한국은행,37042,622536,5.950178,True
2025,42091005,300,강릉-동해상사,ride,4,4201043,안목,36523,622536,5.866809,True
2025,42091005,300,강릉-동해상사,ride,5,4200274,송정노인회관,26554,622536,4.265456,True
2025,42091006,301 (운행 폐지),강릉-동해상사,ride,1,4200473,향호리,7,9,77.777778,True
2025,42091006,301 (운행 폐지),강릉-동해상사,ride,2,4200184,소돌,1,9,11.111111,True
2025,42091006,301 (운행 폐지),강릉-동해상사,ride,2,4200187,양양고개,1,9,11.111111,True
2025,42091007,302,강릉-동해상사,goff,1,4200253,교보생명,3758,27546,13.642634,True
2025,42091007,302,강릉-동해상사,goff,2,4200196,작은다리,1754,27546,6.367531,True
2025,42091007,302,강릉-동해상사,goff,3,4200446,강릉아산병원(주문진방면),1543,27546,5.601539,True
2025,42091007,302,강릉-동해상사,goff,4,4200120,강릉시외.고속터미널,1518,27546,5.510782,True
2025,42091007,302,강릉-동해상사,goff,5,4200198,원마트,1045,27546,3.793654,True
2025,42091007,302,강릉-동해상사,ride,1,4200253,교보생명,5061,58869,8.597054,True
2025,42091007,302,강릉-동해상사,ride,2,4200120,강릉시외.고속터미널,4501,58869,7.64579,True
2025,42091007,302,강릉-동해상사,ride,3,4200274,송정노인회관,2958,58869,5.024716,True
2025,42091007,302,강릉-동해상사,ride,4,4200721,강릉역,2935,58869,4.985646,True
2025,42091007,302,강릉-동해상사,ride,5,4200134,부영2차아파트,2835,58869,4.815777,True
2025,42091012,315,강릉-동해상사,goff,1,4200121,강릉시외.고속터미널,1025,11847,8.651979,True
2025,42091012,315,강릉-동해상사,goff,2,4200067,홍제동주민센터,622,11847,5.250274,True
2025,42091012,315,강릉-동해상사,goff,3,4200454,작은다리사거리,597,11847,5.03925,True
2025,42091012,315,강릉-동해상사,goff,4,4201146,파란바다지역아동센터,549,11847,4.634085,True
2025,42091012,315,강릉-동해상사,goff,5,4200356,강원대학교,488,11847,4.119186,True
2025,42091012,315,강릉-동해상사,ride,1,4200063,가톨릭관동대학교,2232,24294,9.187454,True
2025,42091012,315,강릉-동해상사,ride,2,4200065,보건소,1380,24294,5.680415,True
2025,42091012,315,강릉-동해상사,ride,3,4200357,내곡교,977,24294,4.021569,True
2025,42091012,315,강릉-동해상사,ride,4,4200120,강릉시외.고속터미널,957,24294,3.939244,True
2025,42091012,315,강릉-동해상사,ride,5,4201237,강릉아산병원(강릉방면),893,24294,3.675805,True
2025,42091015,225,강릉-동해상사,goff,1,4200253,교보생명,1142,5884,19.408566,True
2025,42091015,225,강릉-동해상사,goff,2,4200120,강릉시외.고속터미널,752,5884,12.780421,True
2025,42091015,225,강릉-동해상사,goff,3,4200543,미디어촌5단지,682,5884,11.590755,True
2025,42091015,225,강릉-동해상사,goff,4,4200565,우미린아파트,391,5884,6.645139,True
2025,42091015,225,강릉-동해상사,goff,5,4200067,홍제동주민센터,375,5884,6.373215,True
2025,42091015,225,강릉-동해상사,ride,1,4200253,교보생명,2984,10998,27.132206,True
2025,42091015,225,강릉-동해상사,ride,2,4200251,한국은행,1057,10998,9.610838,True
2025,42091015,225,강릉-동해상사,ride,3,4200721,강릉역,777,10998,7.064921,True
2025,42091015,225,강릉-동해상사,ride,4,4200543,미디어촌5단지,526,10998,4.782688,True
2025,42091015,225,강릉-동해상사,ride,5,4201043,안목,495,10998,4.500818,True
2025,42091016,225-1,강릉-동해상사,goff,1,4200252,신영극장,1427,4846,29.446967,True
2025,42091016,225-1,강릉-동해상사,goff,2,4201044,안목커피거리,641,4846,13.227404,True
2025,42091016,225-1,강릉-동해상사,goff,3,4200293,강릉역건너편,583,4846,12.030541,True
2025,42091016,225-1,강릉-동해상사,goff,4,4200249,용강동서부시장,406,4846,8.378044,True
2025,42091016,225-1,강릉-동해상사,goff,5,4200120,강릉시외.고속터미널,167,4846,3.446141,True
2025,42091016,225-1,강릉-동해상사,ride,1,4200252,신영극장,1465,8274,17.706067,True
2025,42091016,225-1,강릉-동해상사,ride,2,4200121,강릉시외.고속터미널,1114,8274,13.463863,True
2025,42091016,225-1,강릉-동해상사,ride,3,4200543,미디어촌5단지,623,8274,7.529611,True
2025,42091016,225-1,강릉-동해상사,ride,4,4200548,강릉소방서,583,8274,7.046169,True
2025,42091016,225-1,강릉-동해상사,ride,5,4201250,선수촌8단지,547,8274,6.611071,True
2025,42091017,961-1,강릉-동해상사,goff,1,4202022,옥계현내시장,13,24,54.166667,True
2025,42091017,961-1,강릉-동해상사,goff,2,4201096,한라아파트,8,24,33.333333,True
2025,42091017,961-1,강릉-동해상사,goff,3,4202142,도직리,2,24,8.333333,True
2025,42091017,961-1,강릉-동해상사,goff,4,4201289,남양1리경로당,1,24,4.166667,True
2025,42091017,961-1,강릉-동해상사,ride,1,4201096,한라아파트,146,357,40.896359,True
2025,42091017,961-1,강릉-동해상사,ride,2,4202022,옥계현내시장,123,357,34.453782,True
2025,42091017,961-1,강릉-동해상사,ride,3,4202032,옥계현내시장,22,357,6.162465,True
2025,42091017,961-1,강릉-동해상사,ride,4,4201289,남양1리경로당,13,357,3.641457,True
2025,42091017,961-1,강릉-동해상사,ride,5,4201295,남양2리교,10,357,2.80112,True
2025,42091018,962-1,강릉-동해상사,goff,1,4202022,옥계현내시장,12,36,33.333333,True
2025,42091018,962-1,강릉-동해상사,goff,2,4202032,옥계현내시장,5,36,13.888889,True
2025,42091018,962-1,강릉-동해상사,goff,3,4202002,현내1리연탄직매장,4,36,11.111111,True
2025,42091018,962-1,강릉-동해상사,goff,4,4201328,산계리종점,3,36,8.333333,True
2025,42091018,962-1,강릉-동해상사,goff,4,4202072,주수1리,3,36,8.333333,True
2025,42091018,962-1,강릉-동해상사,ride,1,4202022,옥계현내시장,166,308,53.896104,True
2025,42091018,962-1,강릉-동해상사,ride,2,4201328,산계리종점,66,308,21.428571,True
2025,42091018,962-1,강릉-동해상사,ride,3,4202042,옥계면사무소,24,308,7.792208,True
2025,42091018,962-1,강릉-동해상사,ride,4,4201325,황기골,17,308,5.519481,True
2025,42091018,962-1,강릉-동해상사,ride,5,4202082,옥계역,12,308,3.896104,True
2025,42092072,202-1,강릉-동해상사,goff,1,4200252,신영극장,19145,94977,20.157512,True
2025,42092072,202-1,강릉-동해상사,goff,2,4201242,경포해변,12809,94977,13.486423,True
2025,42092072,202-1,강릉-동해상사,goff,3,4201261,강문해변입구,11386,94977,11.988166,True
2025,42092072,202-1,강릉-동해상사,goff,4,4200721,강릉역,10452,94977,11.00477,True
2025,42092072,202-1,강릉-동해상사,goff,5,4201267,경포호,5848,94977,6.15728,True
2025,42092072,202-1,강릉-동해상사,ride,1,4200252,신영극장,30266,145108,20.857568,True
2025,42092072,202-1,강릉-동해상사,ride,2,4200721,강릉역,18571,145108,12.798054,True
2025,42092072,202-1,강릉-동해상사,ride,3,4200121,강릉시외.고속터미널,13265,145108,9.141467,True
2025,42092072,202-1,강릉-동해상사,ride,4,4201242,경포해변,11763,145108,8.106376,True
2025,42092072,202-1,강릉-동해상사,ride,5,4200543,미디어촌5단지,10103,145108,6.9624,True
2025,42092075,,,goff,1,4200547,e-편한세상아파트,42,117,35.897436,False
2025,42092075,,,goff,2,4200109,동인병원입구,21,117,17.948718,False
2025,42092075,,,goff,3,4200363,율곡중정문,15,117,12.820513,False
2025,42092075,,,goff,4,4200111,하슬라중,11,117,9.401709,False
2025,42092075,,,goff,5,4200105,동명중학교,9,117,7.692308,False
2025,42092075,,,ride,1,4200543,미디어촌5단지,640,2525,25.346535,False
2025,42092075,,,ride,2,4200567,한내들아파트,390,2525,15.445545,False
2025,42092075,,,ride,3,4200131,하이빌현대아파트,298,2525,11.80198,False
2025,42092075,,,ride,4,4200566,주공2차아파트,228,2525,9.029703,False
2025,42092075,,,ride,5,4200129,주공3차아파트,154,2525,6.09901,False
2025,42092076,300-1,강릉-동해상사,goff,1,4200252,신영극장,78436,266772,29.401886,True
2025,42092076,300-1,강릉-동해상사,goff,2,4201044,안목커피거리,21837,266772,8.185642,True
2025,42092076,300-1,강릉-동해상사,goff,3,4200249,용강동서부시장,19735,266772,7.397703,True
2025,42092076,300-1,강릉-동해상사,goff,4,4200310,삼천리아파트,8350,266772,3.130014,True
2025,42092076,300-1,강릉-동해상사,goff,5,4200260,동남아파트,7806,266772,2.926094,True
2025,42092076,300-1,강릉-동해상사,ride,1,4200252,신영극장,72716,528147,13.768137,True
2025,42092076,300-1,강릉-동해상사,ride,2,4200197,작은다리,31442,528147,5.953267,True
2025,42092076,300-1,강릉-동해상사,ride,3,4200317,강릉아산병원.강릉약국,27242,528147,5.158034,True
2025,42092076,300-1,강릉-동해상사,ride,4,4200305,주문진시외버스터미널,22825,528147,4.321713,True
2025,42092076,300-1,강릉-동해상사,ride,5,4200194,주문진항입구,22294,528147,4.221173,True
2025,42092077,302-1,강릉-동해상사,goff,1,4200252,신영극장,6413,23174,27.673255,True
2025,42092077,302-1,강릉-동해상사,goff,2,4201044,안목커피거리,2166,23174,9.346682,True
2025,42092077,302-1,강릉-동해상사,goff,3,4200121,강릉시외.고속터미널,2079,23174,8.971261,True
2025,42092077,302-1,강릉-동해상사,goff,4,4200249,용강동서부시장,1531,23174,6.606542,True
2025,42092077,302-1,강릉-동해상사,goff,5,4200128,구름다리,1077,23174,4.64745,True
2025,42092077,302-1,강릉-동해상사,ride,1,4200252,신영극장,4472,43969,10.170802,True
2025,42092077,302-1,강릉-동해상사,ride,2,4200121,강릉시외.고속터미널,4310,43969,9.802361,True
2025,42092077,302-1,강릉-동해상사,ride,3,4201237,강릉아산병원(강릉방면),3078,43969,7.000387,True
2025,42092077,302-1,강릉-동해상사,ride,4,4200128,구름다리,2531,43969,5.756328,True
2025,42092077,302-1,강릉-동해상사,ride,5,4200317,강릉아산병원.강릉약국,2213,43969,5.033091,True
2025,42092092,314,강릉-동해상사,goff,1,4200253,교보생명,11942,57537,20.75534,True
2025,42092092,314,강릉-동해상사,goff,2,4200120,강릉시외.고속터미널,5935,57537,10.315102,True
2025,42092092,314,강릉-동해상사,goff,3,4200721,강릉역,2866,57537,4.981143,True
2025,42092092,314,강릉-동해상사,goff,4,4200196,작은다리,2786,57537,4.842102,True
2025,42092092,314,강릉-동해상사,goff,5,4200251,한국은행,2224,57537,3.865339,True
2025,42092092,314,강릉-동해상사,ride,1,4200253,교보생명,14107,103157,13.675272,True
2025,42092092,314,강릉-동해상사,ride,2,4200721,강릉역,10856,103157,10.523765,True
2025,42092092,314,강릉-동해상사,ride,3,4200120,강릉시외.고속터미널,7872,103157,7.631087,True
2025,42092092,314,강릉-동해상사,ride,4,4201043,안목,7761,103157,7.523484,True
2025,42092092,314,강릉-동해상사,ride,5,4200251,한국은행,5069,103157,4.913869,True
