year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42002004,104,강릉-동진버스,ride,3,4200252,신영극장,33,349,9.455587,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002004,104,강릉-동진버스,ride,4,4200106,KT,23,349,6.590258,True,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42002004,104,강릉-동진버스,ride,5,4200357,내곡교,15,349,4.297994,True,2025-05-27,2025-06-03,8,안목-안목커피거리,6
2025,42002005,104-1,강릉-동진버스,goff,1,4200253,교보생명,144,521,27.639155,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,goff,2,4200252,신영극장,72,521,13.819578,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,goff,3,4200251,한국은행,32,521,6.142035,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,goff,4,4200360,하나로마트내곡점,22,521,4.222649,True,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42002005,104-1,강릉-동진버스,goff,5,4201044,안목커피거리,21,521,4.03071,True,2025-05-27,2025-06-03,8,안목-안목커피거리,4
2025,42002005,104-1,강릉-동진버스,ride,1,4200253,교보생명,200,1244,16.07717,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,ride,2,4200252,신영극장,126,1244,10.128617,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,ride,3,4200106,KT,87,1244,6.993569,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,ride,4,4200251,한국은행,57,1244,4.581994,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,ride,5,4201043,안목,55,1244,4.421222,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,goff,1,4200252,신영극장,107,481,22.245322,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,goff,2,4200253,교보생명,91,481,18.918919,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,goff,3,4201044,안목커피거리,32,481,6.652807,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,goff,4,4200853,강릉대도호부관아,19,481,3.950104,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,goff,5,4200107,KT,15,481,3.118503,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,ride,1,4200253,교보생명,192,1194,16.080402,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,ride,2,4200252,신영극장,189,1194,15.829146,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,ride,3,4200359,하나로마트내곡점,55,1194,4.606365,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,ride,4,4200065,보건소,52,1194,4.355109,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,ride,5,4201043,안목,48,1194,4.020101,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002010,110,강릉-동진버스,goff,1,4201198,남대천.강릉교,116,297,39.057239,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,goff,2,4202032,옥계현내시장,79,297,26.599327,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,goff,3,4200094,강릉여고,16,297,5.387205,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,7
2025,42002010,110,강릉-동진버스,goff,3,4200721,강릉역,16,297,5.387205,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,goff,5,4201095,낙풍리입구,10,297,3.367003,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,goff,5,4201199,남대천.강릉교,10,297,3.367003,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,goff,5,4202052,옥계면사무소,10,297,3.367003,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,7
2025,42002010,110,강릉-동진버스,ride,1,4202022,옥계현내시장,424,1085,39.078341,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,ride,2,4201199,남대천.강릉교,315,1085,29.032258,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002010,110,강릉-동진버스,ride,3,4201197,강릉중입구,95,1085,8.75576,True,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
