route_id,route_name,company_name,start_stop_name,end_stop_name,stop_visits,geometry_points,retrieved_at,source_url
42002091,302-2,강릉-동진버스,향호리,공단,66,507,2026-09-25T06:23:11.660687+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002091
42092092,314,강릉-동해상사,안목,향호리,63,496,2026-09-25T06:23:13.241224+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092092
42002092,314,강릉-동진버스,공단,향호리,56,466,2026-09-25T06:23:14.708616+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002092
42092094,314-1,강릉-동해상사,향호리,안목커피거리,61,483,2026-09-25T06:23:16.224400+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092094
42002094,314-2,강릉-동진버스,향호리,공단,55,454,2026-09-25T06:23:17.566192+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002094
42091012,315,강릉-동해상사,가톨릭관동대학교,향호리,107,1052,2026-09-25T06:23:19.738865+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091012
42001012,315,강릉-동진버스,가톨릭관동대학교,향호리,107,1052,2026-09-25T06:23:21.773927+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001012
42002061,504 (운행 폐지),강릉-동진버스,안목,성산,61,386,2026-09-25T06:23:23.166050+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002061
42002132,504-2,강릉-동진버스,경포고교,성산,31,180,2026-09-25T06:23:24.035520+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002132
42002112,911,강릉-동진버스,주문진시외버스터미널,주문진시외버스터미널,27,355,2026-09-25T06:23:24.926031+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002112
42002113,912,강릉-동진버스,주문진시외버스터미널,궁궁동,23,555,2026-09-25T06:23:25.781850+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002113
42002145,913,강릉-동진버스,주문진시외버스터미널,우신아파트,11,119,2026-09-25T06:23:26.339217+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002145
42002107,921,강릉-동진버스,연곡면사무소,송천종점,70,922,2026-09-25T06:23:28.048949+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002107
42092107,921,강릉-동해상사,연곡면사무소,송천종점,70,922,2026-09-25T06:23:29.700404+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092107
42002110,923,강릉-동진버스,연곡면사무소,신왕종점,30,503,2026-09-25T06:23:30.607574+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002110
42092142,924,강릉-동해상사,연곡면사무소,연곡면사무소,6,146,2026-09-25T06:23:31.004574+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092142
42002142,924,강릉-동진버스,연곡면사무소,연곡면사무소,6,146,2026-09-25T06:23:31.437935+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002142
42092113,930,강릉-동해상사,경포해변,사천면사무소,18,147,2026-09-25T06:23:32.129398+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092113
42092111,931-1,강릉-동해상사,사기막,경포해변(종점),35,310,2026-09-25T06:23:33.183538+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092111
42092106,932,강릉-동해상사,사천면사무소,사천면사무소,9,356,2026-09-25T06:23:33.694885+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092106
42092112,933,강릉-동해상사,사천면사무소,사천면사무소,9,536,2026-09-25T06:23:34.208249+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092112
42092115,934,강릉-동해상사,경포해변,KTX공영주차장환승장,19,288,2026-09-25T06:23:34.928250+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092115
42092116,934-1,강릉-동해상사,KTX공영주차장환승장,경포해변(종점),19,291,2026-09-25T06:23:35.638549+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092116
42092117,935,강릉-동해상사,KTX공영주차장환승장,사기막,19,319,2026-09-25T06:23:36.331235+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092117
42092118,935-1,강릉-동해상사,사기막,KTX공영주차장환승장,19,313,2026-09-25T06:23:37.075712+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092118
42002114,941,강릉-동진버스,KTX공영주차장환승장,왕산사,44,995,2026-09-25T06:23:38.289801+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002114
42002115,941-1,강릉-동진버스,KTX공영주차장환승장,고단,58,1663,2026-09-25T06:23:39.751125+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002115
42002116,942,강릉-동진버스,KTX공영주차장환승장,고단,41,2106,2026-09-25T06:23:41.051747+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002116
42002136,943,강릉-동진버스,KTX공영주차장환승장,지암사입구,28,712,2026-09-25T06:23:42.035327+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002136
42002137,943-1,강릉-동진버스,KTX공영주차장환승장,한밭입구,29,1277,2026-09-25T06:23:43.041905+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002137
42002138,943-2,강릉-동진버스,우미린아파트,한밭입구,35,1534,2026-09-25T06:23:44.168153+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002138
42002117,944,강릉-동진버스,KTX공영주차장환승장,삼왕,29,644,2026-09-25T06:23:45.146336+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002117
42002139,944-1,강릉-동진버스,KTX공영주차장환승장,삼왕,38,857,2026-09-25T06:23:46.230261+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002139
42002118,945,강릉-동진버스,KTX공영주차장환승장,가마골,20,416,2026-09-25T06:23:46.984344+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002118
