year,route_id,route_name_current,company_name_current,route_in_current_bis,sttn_id,sttn_nm,name_source,stop_in_current_bis_inventory,stop_on_current_route,current_station_orders,source_2025_station_sequences,longitude,latitude,ride_nope,goff_nope,ride_rank,goff_rank,ride_share_pct,goff_share_pct,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42002143,945-1,강릉-동진버스,True,4200533,가마골,BIS inventory,True,True,9,8,128.79546755385968,37.722099902068294,6,4,6,5,5.263158,8.695652,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,5
2025,42002143,945-1,강릉-동진버스,True,4200540,보광리,BIS inventory,True,True,16,15,128.79683168120394,37.73726419118738,7,0,3,,6.140351,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,5
2025,42002143,945-1,강릉-동진버스,True,4200797,KTX공영주차장환승장,BIS inventory,True,True,1 | 29,28,128.8967850727094,37.762190942376556,1,1,13,7,0.877193,2.173913,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,2
2025,42002143,945-1,강릉-동진버스,True,4200967,대관령박물관,BIS inventory,True,True,8,7,128.80456089771366,37.71714451138875,8,7,2,3,7.017544,15.217391,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,5
2025,42002143,945-1,강릉-동진버스,True,4200972,어흘리.굴면동,BIS inventory,True,True,7,6,128.81242525863513,37.71968494003737,7,6,3,4,6.140351,13.043478,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002143,945-1,강릉-동진버스,True,4200977,보광리체험학습장,BIS inventory,True,True,20,19,128.80793365498167,37.73787511002778,7,1,3,7,6.140351,2.173913,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,5
2025,42002143,945-1,강릉-동진버스,True,4200983,보광평,BIS inventory,True,True,18,17,128.8024466454297,37.73817584117786,4,0,8,,3.508772,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,4
2025,42002143,945-1,강릉-동진버스,True,4200985,보광보건진료소,BIS inventory,True,True,19,18,128.8054363627245,37.73800718407803,1,0,13,,0.877193,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,1
2025,42002143,945-1,강릉-동진버스,True,4201005,성산,BIS inventory,True,True,5,4,128.8271623742617,37.714502339268236,2,0,11,,1.754386,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,2
2025,42002143,945-1,강릉-동진버스,True,4201008,성산면사무소,BIS inventory,True,True,27,26,128.83255254171343,37.71856830087688,1,10,13,2,0.877193,21.73913,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,6
2025,42002143,945-1,강릉-동진버스,True,4201009,성산면사무소,BIS inventory,True,True,3,2,128.832602033901,37.718970827982346,1,0,13,,0.877193,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,1
2025,42002143,945-1,강릉-동진버스,True,4201414,대굴령목공소,BIS inventory,True,True,10,9,128.7963265827597,37.72854223767263,3,0,9,,2.631579,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,3
2025,42002144,206-1,강릉-동진버스,True,4200011,동부아파트,BIS inventory,True,True,4,3,128.9151327017873,37.78401368458876,32,0,10,,3.219316,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200039,유화아파트,BIS inventory,True,True,3,2,128.91342886671308,37.785727014906996,15,0,18,,1.509054,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200041,허균생가입구,BIS inventory,True,True,2,1,128.91292892790995,37.78786454215139,9,0,25,,0.905433,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200043,이화해변타운,BIS inventory,True,True,5,4,128.91744670191798,37.78316591377611,12,0,21,,1.207243,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200047,강릉고정문,BIS inventory,True,True,63,61,128.91550078840652,37.78828834947499,0,27,,4,0.0,5.498982,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200049,남강초교,BIS inventory,True,True,50,49,128.91338089940805,37.76735161096919,2,5,45,24,0.201207,1.01833,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200052,송정래미안,BIS inventory,True,True,59,58,128.93038982126572,37.78292573478735,0,1,,41,0.0,0.203666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,1
2025,42002144,206-1,강릉-동진버스,True,4200053,오성학교,BIS inventory,True,True,58,57,128.93312248716418,37.77978287851338,0,2,,36,0.0,0.407332,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,1
2025,42002144,206-1,강릉-동진버스,True,4200055,해당화연립,BIS inventory,True,True,57,56,128.93501598562065,37.778964657496246,1,3,49,31,0.100604,0.610998,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200057,강릉경찰서,BIS inventory,True,True,13,12,128.90688706685629,37.768055768979885,20,1,14,41,2.012072,0.203666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200060,솔올중학교,BIS inventory,True,True,33,32,128.8798722504925,37.77163504014371,7,0,31,,0.704225,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200080,경포초등학교,BIS inventory,True,True,34,33,128.87893593974582,37.76974854746925,9,5,25,24,0.905433,1.01833,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200094,강릉여고,BIS inventory,True,True,47,46,128.90248424479844,37.75904463050879,9,4,25,28,0.905433,0.814664,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200100,강원도교육연수원,BIS inventory,True,True,62,60,128.91813970318609,37.785074864473685,0,6,,20,0.0,1.221996,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200104,동명중학교,BIS inventory,True,True,8,7,128.91637238303827,37.777185998905715,4,0,37,,0.402414,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200106,KT,BIS inventory,True,True,10,9,128.91181164590185,37.77275858732733,46,1,5,41,4.627767,0.203666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200108,동인병원입구,BIS inventory,True,True,11,10,128.90953558421478,37.77125258486367,26,0,11,,2.615694,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200110,하슬라중,BIS inventory,True,True,12,11,128.90715554439282,37.77053362559672,17,3,16,31,1.710262,0.610998,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200114,고용센터,BIS inventory,True,True,21,20,128.88893105798073,37.75744085258255,2,8,45,16,0.201207,1.629328,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200115,고용센터,BIS inventory,True,True,44,43,128.8890663454416,37.75714942132559,7,2,31,36,0.704225,0.407332,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,4
2025,42002144,206-1,강릉-동진버스,True,4200116,적십자입구,BIS inventory,True,True,22,21,128.88726321660565,37.757196360936135,1,3,49,31,0.100604,0.610998,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200117,적십자입구,BIS inventory,True,True,43,42,128.88647213220725,37.75676623567213,4,0,37,,0.402414,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,4
2025,42002144,206-1,강릉-동진버스,True,4200118,터미널오거리,BIS inventory,True,True,23,22,128.8840640923818,37.75608209292866,4,4,37,28,0.402414,0.814664,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,4
2025,42002144,206-1,강릉-동진버스,True,4200119,터미널오거리,BIS inventory,True,True,42,41,128.88381140539954,37.755579088211434,5,0,35,,0.503018,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,2
2025,42002144,206-1,강릉-동진버스,True,4200120,강릉시외.고속터미널,BIS inventory,True,True,24,23,128.8792265208128,37.75505492071011,10,33,23,3,1.006036,6.720978,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200121,강릉시외.고속터미널,BIS inventory,True,True,41,40,128.87911620808939,37.75486594086855,58,8,3,16,5.83501,1.629328,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200122,강릉문화원,BIS inventory,True,True,25,24,128.8740921031382,37.75789663608161,1,3,49,31,0.100604,0.610998,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,4
2025,42002144,206-1,강릉-동진버스,True,4200123,우편집중국,BIS inventory,True,True,26,25,128.8733706824724,37.76051485370646,4,8,37,16,0.402414,1.629328,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200124,우편집중국,BIS inventory,True,True,40,39,128.87347187490323,37.76156496879712,20,1,14,41,2.012072,0.203666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200125,솔올공연장,BIS inventory,True,True,27,26,128.87460623301726,37.76366952964576,0,22,,5,0.0,4.480652,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200126,솔올공연장,BIS inventory,True,True,39,38,128.87424793205705,37.763507530751156,36,2,9,36,3.62173,0.407332,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200127,구름다리,BIS inventory,True,True,28,27,128.87654770197503,37.764512872809554,1,12,49,8,0.100604,2.443992,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200128,구름다리,BIS inventory,True,True,38,37,128.87743298775584,37.764682397677966,42,1,7,41,4.225352,0.203666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200129,주공3차아파트,BIS inventory,True,True,29,28,128.87933873663175,37.76410589188944,3,4,42,28,0.301811,0.814664,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,4
2025,42002144,206-1,강릉-동진버스,True,4200130,현대2차아파트,BIS inventory,True,True,37,36,128.87999435131803,37.764311243841746,15,0,18,,1.509054,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200131,하이빌현대아파트,BIS inventory,True,True,30,29,128.8824547932286,37.764860822549025,0,12,,8,0.0,2.443992,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200132,율곡초등학교,BIS inventory,True,True,36,35,128.88221538693716,37.765100900268116,4,0,37,,0.402414,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200134,부영2차아파트,BIS inventory,True,True,32,31,128.88281079370944,37.77016072015751,23,0,12,,2.313883,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200249,용강동서부시장,BIS inventory,True,True,45,44,128.89167287030088,37.75492247590215,5,18,35,6,0.503018,3.665988,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200250,용강동서부시장,BIS inventory,True,True,20,19,128.89174828581776,37.7556582744871,22,8,13,16,2.21328,1.629328,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200251,한국은행,BIS inventory,True,True,19,18,128.89406630781096,37.753485602290496,56,17,4,7,5.633803,3.462322,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200252,신영극장,BIS inventory,True,True,46,45,128.8961287589657,37.75448236011555,125,89,2,1,12.575453,18.126273,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200253,교보생명,BIS inventory,True,True,18,17,128.89811415297848,37.756002485379526,149,80,1,2,14.98994,16.293279,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200258,용지각,BIS inventory,True,True,48,47,128.90534669055177,37.76147384168322,8,12,29,8,0.804829,2.443992,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200260,동남아파트,BIS inventory,True,True,49,48,128.9088062489658,37.764638779656714,2,6,45,20,0.201207,1.221996,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200265,혜성연립,BIS inventory,True,True,51,50,128.91575952067353,37.76841531999017,3,10,42,12,0.301811,2.03666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200267,삼우은성아파트,BIS inventory,True,True,52,51,128.91973659122027,37.77025900516923,3,5,42,24,0.301811,1.01833,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4200269,이마트,BIS inventory,True,True,53,52,128.92346774482266,37.772222356268564,13,11,20,11,1.307847,2.240326,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200271,송정동주민센터,BIS inventory,True,True,54,53,128.9281580126049,37.77420386430584,1,1,49,41,0.100604,0.203666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,2
2025,42002144,206-1,강릉-동진버스,True,4200273,송정신원아침도시,BIS inventory,True,True,55,54,128.93190852770562,37.774810233413945,0,3,,31,0.0,0.610998,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,2
2025,42002144,206-1,강릉-동진버스,True,4200277,비치소라아파트,BIS inventory,True,True,56,55,128.93435177478304,37.77578862012879,0,9,,14,0.0,1.832994,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,4
2025,42002144,206-1,강릉-동진버스,True,4200287,강릉고등학교,BIS inventory,True,True,1,0,128.91470458416677,37.788540253578724,41,0,8,,4.124748,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200288,경포고교,BIS inventory,True,True,6,5,128.91881546540267,37.78075927662396,9,0,25,,0.905433,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200289,한솔초교,BIS inventory,True,True,9,8,128.9142086436632,37.775058134113436,8,2,29,36,0.804829,0.407332,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4200292,주공1차아파트,BIS inventory,True,True,35,34,128.88256780330317,37.766843575404636,7,1,31,41,0.704225,0.203666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200315,구터미널,BIS inventory,True,True,16,15,128.8988430353628,37.76163002626936,16,6,17,20,1.609658,1.221996,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42002144,206-1,강릉-동진버스,True,4200320,강릉역육거리,BIS inventory,True,True,15,14,128.9015605860337,37.763796951176055,10,9,23,14,1.006036,1.832994,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200322,동도센트리움,BIS inventory,True,True,14,13,128.90456486009336,37.76619195310031,11,2,22,36,1.10664,0.407332,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,6
2025,42002144,206-1,강릉-동진버스,True,4200365,삼성디지털센터,BIS inventory,True,True,17,16,128.8966989039856,37.75811194350719,2,5,45,24,0.201207,1.01833,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,5
2025,42002144,206-1,강릉-동진버스,True,4200530,주공2차아파트,BIS inventory,True,True,31,30,128.8850454710998,37.768615366200436,46,10,5,12,4.627767,2.03666,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,7
2025,42002144,206-1,강릉-동진버스,True,4201220,포남2주공입구,BIS inventory,True,True,7,6,128.9179885478381,37.77901498558293,7,0,31,,0.704225,0.0,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,3
2025,42002144,206-1,강릉-동진버스,True,4201233,초당분수공원,BIS inventory,True,True,61,59,128.9221385517862,37.785996929695614,1,6,49,20,0.100604,1.221996,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,4
2025,42002145,913,강릉-동진버스,True,4200194,주문진항입구,BIS inventory,True,True,8,7,128.82670250148865,37.8926318795772,1,23,6,1,1.010101,41.818182,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,8
2025,42002145,913,강릉-동진버스,True,4200195,주문진항입구,BIS inventory,True,True,4,3,128.82690557497094,37.892668432750234,4,1,3,6,4.040404,1.818182,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,2
2025,42002145,913,강릉-동진버스,True,4200196,작은다리,BIS inventory,True,True,3,2,128.8261349428677,37.89101262248175,9,0,2,,9.090909,0.0,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,8
2025,42002145,913,강릉-동진버스,True,4200197,작은다리,BIS inventory,True,True,9,8,128.82583778093624,37.88994679111109,1,13,6,2,1.010101,23.636364,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,7
2025,42002145,913,강릉-동진버스,True,4200198,원마트,BIS inventory,True,True,2,1,128.82575730347685,37.88826959645488,1,0,6,,1.010101,0.0,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,1
2025,42002145,913,강릉-동진버스,True,4200448,주문진시외버스터미널,BIS inventory,True,True,1 | 11,10,128.8255388895829,37.884201127994984,4,1,3,6,4.040404,1.818182,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,3
2025,42002145,913,강릉-동진버스,True,4200520,우신아파트,BIS inventory,True,True,6,5,128.8255393760297,37.87241785986445,76,7,1,3,76.767677,12.727273,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,8
2025,42002145,913,강릉-동진버스,True,4201232,원마트,BIS inventory,True,True,10,9,128.8255161831108,37.88764901879385,0,7,,3,0.0,12.727273,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,5
2025,42002145,913,강릉-동진버스,True,4201391,주문진읍사무소,BIS inventory,True,True,5,4,128.8238312459903,37.8934502421149,3,0,5,,3.030303,0.0,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,2
2025,42002145,913,강릉-동진버스,True,4201393,주문진읍사무소,BIS inventory,True,True,7,6,128.82369473290439,37.893285463228835,0,3,,5,0.0,5.454545,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,2
2025,42002146,971,강릉-동진버스,True,4200512,덕현리,BIS inventory,True,True,42,41,128.92611817321585,37.705859421056175,1,0,5,,5.263158,0.0,2025-05-27,2025-06-03,8,덕현리마을회관-덕현리마을회관,1
2025,42002146,971,강릉-동진버스,True,4200513,덕현리,BIS inventory,True,True,2,1,128.92602088648235,37.70591024035886,1,0,5,,5.263158,0.0,2025-05-27,2025-06-03,8,덕현리마을회관-덕현리마을회관,1
