year,route_id,route_name_current,company_name_current,route_in_current_bis,identified_stop_count,ride_total,goff_total,unknown_stop_ride,unknown_stop_goff,top_ride_stop_ids,top_ride_stop_names,top_ride_count_each,top_goff_stop_ids,top_goff_stop_names,top_goff_count_each,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42002026,205,강릉-동진버스,True,22,165,48,0,0,4200245 | 4200356,이명사거리 | 강원대학교,33,4200252,신영극장,23,2025-05-27,2025-06-03,8,공단-공단,5
2025,42002030,211,강릉-동진버스,True,55,832,319,0,0,4200252,신영극장,164,4200253,교보생명,70,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002035,222,강릉-동진버스,True,52,4207,2084,0,0,4200063,가톨릭관동대학교,659,4200253,교보생명,443,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002036,223,강릉-동진버스,True,28,6597,3086,0,0,4200253,교보생명,1366,4200253,교보생명,908,2025-05-27,2025-06-03,8,안목-가톨릭관동대학교,8
2025,42002037,224,강릉-동진버스,True,40,221,15,0,0,4200288,경포고교,44,4200103,경포고교,3,2025-05-27,2025-06-03,8,안목-안목커피거리,5
2025,42002038,227,강릉-동진버스,True,58,11098,4867,0,0,4200253,교보생명,1329,4200252,신영극장,955,2025-05-27,2025-06-03,8,남항진해변-남항진해변,8
2025,42002040,228,강릉-동진버스,True,43,5411,2499,0,0,4200543,미디어촌5단지,751,4200252,신영극장,520,2025-05-27,2025-06-03,8,남항진해변-남항진해변,8
2025,42002042,230,강릉-동진버스,True,55,1263,624,0,0,4200252,신영극장,210,4200252,신영극장,191,2025-05-27,2025-06-03,8,강문해변-강문해변,8
2025,42002043,230-1,강릉-동진버스,True,60,2788,1289,0,0,4200253,교보생명,319,4200252,신영극장,295,2025-05-27,2025-06-03,8,강문해변-강문해변,8
2025,42002072,202-1,강릉-동진버스,True,43,6294,4038,0,0,4200252,신영극장,1348,4200252,신영극장,923,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42002078,211-1,강릉-동진버스,True,55,894,431,0,0,4200252,신영극장,139,4200252,신영극장,96,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002080,,,False,14,79,10,0,0,4200762,입암현대아파트,21,4200088,문성고등학교,5,2025-05-27,2025-06-03,8,공단-문성고등학교,5
2025,42002083,,,False,13,61,1,0,0,4200543,미디어촌5단지,15,4200111,하슬라중,1,2025-05-27,2025-06-03,8,선수촌8단지-강릉고정문,2
2025,42002084,224-1,강릉-동진버스,True,19,101,30,0,0,4201043,안목,34,4200751,금호어울림정문,10,2025-05-27,2025-06-03,8,안목-안목커피거리,5
2025,42002085,220,강릉-동진버스,True,64,9807,4192,0,0,4200252,신영극장,1394,4200252,신영극장,902,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002086,225,강릉-동진버스,True,40,224,128,0,0,4200253,교보생명,59,4200253,교보생명,18,2025-05-27,2025-06-03,8,안목-회산종점,2
2025,42002087,225-1,강릉-동진버스,True,32,135,69,0,0,4200121,강릉시외.고속터미널,27,4200252,신영극장,25,2025-05-27,2025-06-03,8,회산종점-안목커피거리,2
2025,42002089,223-1,강릉-동진버스,True,28,7860,4262,0,0,4200252,신영극장,2328,4200252,신영극장,1356,2025-05-27,2025-06-03,8,가톨릭관동대학교-안목커피거리,8
2025,42002090,300-2,강릉-동진버스,True,51,12491,6390,0,0,4200252,신영극장,969,4200252,신영극장,2621,2025-05-27,2025-06-03,8,향호리-공단,8
2025,42002091,302-2,강릉-동진버스,True,65,2582,1259,0,0,4200252,신영극장,341,4200252,신영극장,454,2025-05-27,2025-06-03,8,향호리-공단,8
2025,42002092,314,강릉-동진버스,True,53,1231,638,0,0,4200253,교보생명,271,4200253,교보생명,119,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42002094,314-2,강릉-동진버스,True,53,1161,604,0,0,4200121,강릉시외.고속터미널,162,4200252,신영극장,198,2025-05-27,2025-06-03,8,향호리-공단,8
2025,42002096,202-2,강릉-동진버스,True,36,491,208,0,0,4200252,신영극장,129,4201242,경포해변,58,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42002104,234,강릉-동진버스,True,16,142,33,0,0,4201250,선수촌8단지,30,4200252,신영극장,11,2025-05-27,2025-06-03,8,강릉역-강릉역,5
2025,42002107,921,강릉-동진버스,True,50,421,290,0,0,4200354,연곡면사무소,170,4200354,연곡면사무소,205,2025-05-27,2025-06-03,8,연곡면사무소-연곡면사무소,8
2025,42002109,922,강릉-동진버스,True,43,426,269,0,0,4200354,연곡면사무소,209,4200354,연곡면사무소,178,2025-05-27,2025-06-03,8,연곡면사무소-연곡면사무소,8
2025,42002110,923,강릉-동진버스,True,11,57,34,0,0,4200354,연곡면사무소,26,4200354,연곡면사무소,24,2025-05-27,2025-06-03,8,연곡면사무소-연곡면사무소,8
2025,42002112,911,강릉-동진버스,True,19,106,63,0,0,4200196,작은다리,25,4200184,소돌,20,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,8
2025,42002113,912,강릉-동진버스,True,17,392,214,0,0,4200448,주문진시외버스터미널,128,4200448,주문진시외버스터미널,162,2025-05-27,2025-06-03,8,주문진시외버스터-주문진시외버스터,8
2025,42002114,941,강릉-동진버스,True,34,293,129,0,0,4200253,교보생명,110,4200252,신영극장,44,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002115,941-1,강릉-동진버스,True,37,205,124,0,0,4200253,교보생명,92,4200252,신영극장,49,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002116,942,강릉-동진버스,True,25,243,101,0,0,4200253,교보생명,89,4200252,신영극장,64,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002117,944,강릉-동진버스,True,19,290,69,0,0,4200253,교보생명,104,4200252,신영극장,32,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002118,945,강릉-동진버스,True,13,109,36,0,0,4200253,교보생명,50,4200252,신영극장,15,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002119,946,강릉-동진버스,True,12,76,23,0,0,4200253,교보생명,23,4200252,신영극장,13,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002120,947,강릉-동진버스,True,11,46,15,0,0,4200253,교보생명,12,4200252,신영극장,10,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002121,952,강릉-동진버스,True,17,220,81,0,0,4201199,남대천.강릉교,54,4201198,남대천.강릉교,61,2025-05-27,2025-06-03,8,남대천.강릉교-남대천.강릉교,8
2025,42002123,953,강릉-동진버스,True,26,375,99,0,0,4201199,남대천.강릉교,86,4201198,남대천.강릉교,67,2025-05-27,2025-06-03,8,남대천.강릉교-남대천.강릉교,8
2025,42002124,954,강릉-동진버스,True,10,206,52,0,0,4200028,하시동3리마을회관,57,4201198,남대천.강릉교,29,2025-05-27,2025-06-03,8,남대천.강릉교-남대천.강릉교,8
2025,42002125,955,강릉-동진버스,True,20,267,83,0,0,4201199,남대천.강릉교,69,4201198,남대천.강릉교,49,2025-05-27,2025-06-03,8,남대천.강릉교-남대천.강릉교,8
2025,42002127,956-1,강릉-동진버스,True,8,22,14,0,0,4200005 | 4202032,강동무료주차장 | 옥계현내시장,6,4200019,강동무료주차장,9,2025-05-27,2025-06-03,8,강동무료주차장-강동무료주차장,8
2025,42002128,957,강릉-동진버스,True,8,36,20,0,0,4200005,강동무료주차장,10,4200019,강동무료주차장,15,2025-05-27,2025-06-03,8,강동무료주차장-강동무료주차장,8
2025,42002130,958,강릉-동진버스,True,23,477,307,0,0,4201111,심곡,252,4201121,모래시계공원,92,2025-05-27,2025-06-03,8,강동무료주차장-강동무료주차장,8
2025,42002131,504-1,강릉-동진버스,True,61,12043,6186,0,0,4200252,신영극장,1476,4200253,교보생명,1482,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002132,504-2,강릉-동진버스,True,20,184,41,0,0,4200288,경포고교,84,4201030,홍제동주민센터,16,2025-05-27,2025-06-03,8,경포고교-성산,5
