sttn_id,sttn_nm,longitude,latitude,coordinate_source,coordinate_retrieved_at,bis_api_name,in_analysis_bbox,annual_2025_ride_nope,annual_2025_goff_nope,annual_record_present,danoje_start,danoje_end,danoje_ride_nope,danoje_goff_nope,danoje_days_with_record,danoje_days_supplied
4200027,주문10리,128.81049106440693,37.89755886763472,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문10리,False,21,25,True,2025-05-27,2025-06-03,,,0,8
4201377,주문10리종점,128.80246523281295,37.89335520402651,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문10리종점,False,227,18,True,2025-05-27,2025-06-03,9,0,5,8
4200189,주문2리,128.83046007450088,37.897540604441176,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문2리,False,10236,696,True,2025-05-27,2025-06-03,242,20,8,8
4200299,주문2리,128.83067123183636,37.89750003400375,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문2리,False,1612,4879,True,2025-05-27,2025-06-03,36,113,8,8
4201278,주문진등대,128.83413482750083,37.898607108297156,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진등대,False,228,552,True,2025-05-27,2025-06-03,2,17,7,8
4201277,주문진등대,128.83402573057427,37.898641534767464,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진등대,False,1097,48,True,2025-05-27,2025-06-03,25,0,6,8
4200452,주문진문화교육센터,128.82210321817664,37.88251990280632,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진문화교육센터,False,128,74,True,2025-05-27,2025-06-03,1,2,3,8
4200453,주문진문화교육센터,128.8216607096042,37.88251737897711,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진문화교육센터,False,317,25,True,2025-05-27,2025-06-03,25,1,7,8
4201276,주문진수산시장,128.82844614486706,37.89014411628092,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진수산시장,False,676,8740,True,2025-05-27,2025-06-03,9,191,8,8
4201275,주문진수산시장,128.82825290581502,37.88995969444888,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진수산시장,False,12956,2053,True,2025-05-27,2025-06-03,276,89,8,8
4200200,주문진시외버스터미널,128.8253113527999,37.88508198031381,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진시외버스터미널,False,12942,26171,True,2025-05-27,2025-06-03,242,676,8,8
4200448,주문진시외버스터미널,128.8255388895829,37.884201127994984,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진시외버스터미널,False,5782,5955,True,2025-05-27,2025-06-03,132,163,8,8
4200305,주문진시외버스터미널,128.82509871282576,37.88458386690221,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진시외버스터미널,False,55206,9392,True,2025-05-27,2025-06-03,1386,199,8,8
4200202,주문진식자재마트,128.82596782269363,37.881485546216574,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진식자재마트,False,20259,9230,True,2025-05-27,2025-06-03,406,274,8,8
4200029,주문진읍사무소,128.82486977710943,37.892686971435495,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진읍사무소,False,20,491,True,2025-05-27,2025-06-03,1,9,5,8
4201393,주문진읍사무소,128.82369473290439,37.893285463228835,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진읍사무소,False,6,86,True,2025-05-27,2025-06-03,0,3,2,8
4200971,주문진읍사무소,128.8246799183624,37.892745035212215,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진읍사무소,False,698,323,True,2025-05-27,2025-06-03,17,12,8,8
4201391,주문진읍사무소,128.8238312459903,37.8934502421149,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진읍사무소,False,79,11,True,2025-05-27,2025-06-03,3,0,2,8
4200308,주문진중.고등학교.강릉정보고,128.82672327638434,37.87982425913257,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진중.고등학교.강릉정보고,False,20084,11294,True,2025-05-27,2025-06-03,477,296,8,8
4200204,주문진중학교,128.82690197641236,37.87887483229283,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진중학교,False,38817,8180,True,2025-05-27,2025-06-03,1052,194,8,8
4200532,주문진항,128.8290758047728,37.892766657375546,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진항,False,500,2070,True,2025-05-27,2025-06-03,21,25,8,8
4200195,주문진항입구,128.82690557497094,37.892668432750234,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진항입구,False,8926,24776,True,2025-05-27,2025-06-03,189,599,8,8
4200194,주문진항입구,128.82670250148865,37.8926318795772,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진항입구,False,50053,7433,True,2025-05-27,2025-06-03,1205,158,8,8
4200181,주문진해변,128.81692175696733,37.90940788063508,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진해변,False,19112,1167,True,2025-05-27,2025-06-03,457,38,8,8
4200182,주문진해변,128.81704671925502,37.90944057885068,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문진해변,False,376,17153,True,2025-05-27,2025-06-03,7,481,8,8
4202062,주수1리,129.04484649940426,37.61466278284313,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주수1리,False,538,4,True,2025-05-27,2025-06-03,18,0,6,8
4202072,주수1리,129.0445825275631,37.61484876921252,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주수1리,False,27,75,True,2025-05-27,2025-06-03,0,1,1,8
4202102,주수2리,129.05347399898523,37.618026714837086,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주수2리,False,83,19,True,2025-05-27,2025-06-03,,,0,8
4202112,주수2리,129.0534798781985,37.618295982570245,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주수2리,False,111,32,True,2025-05-27,2025-06-03,1,0,1,8
4200752,중앙초교,128.9223833558042,37.757342016100644,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,중앙초교,True,22944,925,True,2025-05-27,2025-06-03,706,30,8,8
4200753,중앙초교,128.92202942311576,37.75730416097501,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,중앙초교,True,2018,4197,True,2025-05-27,2025-06-03,25,128,8,8
4200229,즈므.과학단지,128.86079294239343,37.79710821329875,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,즈므.과학단지,True,1080,4335,True,2025-05-27,2025-06-03,27,115,8,8
4200138,즈므.과학단지,128.8604076986006,37.79746479759031,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,즈므.과학단지,True,10743,862,True,2025-05-27,2025-06-03,286,25,8,8
4200378,즈므교,128.8504671545161,37.79077991715075,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,즈므교,False,14,2,True,2025-05-27,2025-06-03,,,0,8
4200377,즈므교,128.8503710096998,37.790650810639626,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,즈므교,False,8,12,True,2025-05-27,2025-06-03,,,0,8
4200083,지변동,128.87676045382563,37.771874023944235,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,지변동,True,725,1419,True,2025-05-27,2025-06-03,11,44,7,8
4201406,지암사입구,128.8326543984501,37.76849221810292,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,지암사입구,False,463,7,True,2025-05-27,2025-06-03,9,0,6,8
4200412,진고개휴게소,128.65865259925027,37.84288643809636,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,진고개휴게소,False,1120,11,True,2025-05-27,2025-06-03,34,1,8,8
4200413,진고개휴게소,128.6587993033944,37.842974758114,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,진고개휴게소,False,0,13,True,2025-05-27,2025-06-03,,,0,8
4200023,진골,128.863668793898,37.7068476306324,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,진골,False,30,38,True,2025-05-27,2025-06-03,2,0,1,8
4200284,진골,128.86337243060487,37.70683089545619,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,진골,False,41,18,True,2025-05-27,2025-06-03,1,0,1,8
4200044,차고지대기(미정차),128.93316603832002,37.76938974153612,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,차고지대기(미정차),True,183,5,True,2025-05-27,2025-06-03,5,0,3,8
4200749,차돌광,128.92683577267843,37.75897194822883,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,차돌광,True,109,753,True,2025-05-27,2025-06-03,3,18,7,8
4200748,차돌광,128.92675717507132,37.75922428188879,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,차돌광,True,1403,148,True,2025-05-27,2025-06-03,42,2,8,8
