edge_id,dsi,width,rclass,btw,d_center,length,aadt_hat
1067,1.6332,9.0,4.0,0.0027021716649431233,953.8591747988991,20.076050716955514,26762.012998309558
1068,1.5291,9.0,4.0,0.0018715582988624614,937.8438278362476,74.99993723924585,27005.38184997828
1069,1.3842,7.0,4.0,0.001236039296794209,900.5683597280884,144.90281187262775,26905.93498906569
1070,1.1791,3.0,4.0,0.00020682523267838678,853.2830707630592,34.93771874192076,26431.559484172772
1071,1.5047,3.0,4.0,0.0006204756980351604,865.8934291359976,34.811237705737426,26170.610406721164
1072,1.4558,3.0,4.0,0.0010442088934850052,886.9893287828191,94.26432908435712,25836.083510199875
1073,1.9426,3.0,4.0,0.0009302395725611859,944.8942508780713,24.973947842680182,25076.29466756271
1074,1.6502,5.0,4.0,0.002047311271975181,1028.8834470913573,59.90008344777834,24614.81597351115
1075,1.6838,5.0,4.0,0.002029627714581179,975.6631343769911,44.97201212989778,25246.78698106037
1076,1.5512,5.0,4.0,0.0015899689762150983,909.014220281338,84.82300856669681,26130.165485530906
1077,1.8323,5.0,4.0,0.0029175284384694937,837.4759073107474,50.06419022547648,27127.867105275658
1078,1.4403,11.0,4.0,0.0312693898655636,783.5121332349718,70.0404938797378,29916.49825240972
1080,1.348,11.0,4.0,0.03146199586349535,725.629473845341,85.07481312588632,31031.154297762016
1082,1.4945,9.0,4.0,0.006441571871768356,1084.155797097906,94.91322413705367,25118.67892312556
1083,1.7422,9.0,4.0,0.006380946225439504,1035.1035032168165,35.011079572290726,25680.08642603182
1084,1.2872,9.0,4.0,0.006707287868067274,979.6306833164149,89.94838727342136,26360.039264604962
1085,1.5418,9.0,4.0,0.006433298862461221,923.8476099250064,34.95243612043453,27110.419096371817
1086,1.5857,9.0,4.0,0.00632710206029751,882.2692831223701,60.039813338761405,27713.56395798695
1087,1.6292,9.0,4.0,0.0033696262372580887,842.110230599138,29.969925392012463,28383.707483072612
1088,1.3791,9.0,4.0,0.0007628116741353558,812.9582830451151,39.98730195176713,28979.01984819048
1089,1.7704,9.0,4.0,0.0007929162357807654,775.6573421486681,49.91630335372476,29632.355177739944
1090,1.9021,5.0,4.0,0.01886711478800414,875.5166928352874,74.91997659719145,26427.548428871374
1091,1.8372,5.0,4.0,0.013095139607032059,849.0032744234336,35.00204531883543,26844.03568736831
1092,1.6375,5.0,4.0,0.013235780765253361,832.6385446179307,55.070588440308796,27093.575137835873
1094,1.4558,12.0,4.0,0.0048324715615305075,963.3267653403406,39.95205115856102,27575.488027470266
1095,1.5527,12.0,4.0,0.004647880041365047,987.1348552368344,30.012647948426245,27259.13863141488
1096,1.5042,12.0,4.0,0.0020214581178903826,1009.0449018153826,34.970589156360674,27035.14467124964
1097,1.5614,12.0,4.0,0.001982678386763185,1024.4402793846475,4.940937477767854,26842.018365344433
1098,1.6573,12.0,4.0,0.001998190279214064,1039.337933671231,30.00566435673212,26657.299578138874
1099,1.544,12.0,4.0,0.0010796564403079399,1064.5955586426023,39.977512633771205,26397.055758631905
1100,1.7762,12.0,4.0,0.0018668562564632888,1082.822771389403,10.062191027851217,26146.0636869368
1101,1.2305,5.0,4.0,0.0037334387736480327,1146.8493114089226,79.94332865910107,23335.77453761616
1102,1.4399,5.0,4.0,0.0012140641158221305,1158.6606127986845,49.94835470151526,23291.611108342815
1103,1.7115,5.0,4.0,0.0006684979317476734,1159.7765277902497,114.77705564442209,23317.947491184696
1104,,5.0,4.0,0.0009397621509824199,1098.1732935087994,49.947813504327485,23911.108217394347
1105,1.6708,7.0,4.0,0.00020682523267838678,1198.945015327067,84.87043607503172,23585.764785895917
1106,1.5675,7.0,4.0,0.0005444674250258532,1158.7937896985047,20.02413841172708,23910.283852549186
1107,1.5028,7.0,4.0,0.0005351602895553258,1138.8719879194316,29.979677519012693,24109.936016976055
1108,1.4498,7.0,4.0,0.0005692864529472596,1107.9020160468433,45.028354768891916,24424.985879392254
1109,1.4028,7.0,4.0,0.0011941571871768356,1078.877746294952,24.983879365222517,24687.39719403223
1110,1.737,7.0,4.0,0.0017277662874870738,1059.9896643049658,19.941876310188313,24871.72447072833
1111,1.8684,7.0,4.0,0.00041675284384694934,1041.2736998292087,25.050265601792344,25179.093801541727
1112,1.8035,7.0,4.0,0.0003422957600827301,1020.3174059614471,24.9805641097785,25437.72475493272
1113,1.7727,7.0,4.0,0.001376583505687694,995.9790913520586,35.019299729398746,25637.08033368405
1114,1.9927,7.0,4.0,0.0022605997931747675,976.3055106504758,20.014117353736136,25847.98129153458
1116,1.8764,7.0,4.0,0.00200129265770424,947.3034486128564,50.04107215407779,26230.880109140955
1117,1.6785,7.0,4.0,0.0009443381592554292,917.3805404954105,44.99476901461025,26688.788367492445
1118,1.6531,7.0,4.0,0.0008983971044467426,898.2047108370043,54.95293478316014,26962.576343873374
1119,1.8205,6.0,4.0,0.0005771640610742747,900.2777778628644,79.93761761709689,26641.274594907503
1120,1.6104,6.0,4.0,0.0007867114788004138,864.3772363980854,35.01469510939604,27140.914375723056
1121,1.3133,6.0,4.0,0.0008296708031713204,845.9737863827264,24.963964696594175,27417.00127386131
1122,1.2784,6.0,4.0,0.0009152016546018615,830.7978814854154,29.948331031822875,27647.467150568034
1123,1.6609,6.0,4.0,0.0005136159944846606,956.5425562976778,55.01604924485097,25890.18460212541
1124,1.834,6.0,4.0,0.00013443640124095142,921.1765873569447,30.024990507052358,26453.77407680755
1126,1.4082,6.0,4.0,0.0006269389865563599,834.3664677367852,34.99438775647233,27618.827133843417
