edge_id,case,dsi,aadt,length,width,rclass,tp_dist
353,0,1.4915,33765.32602739726,25.002356981701784,4.0,4.0,186.12641888632018
354,0,1.6479,33765.32602739726,34.94377218254352,4.0,4.0,175.95108893783475
355,0,1.3909,33765.32602739726,49.90025051929626,4.0,4.0,167.12740714718305
356,0,1.6006,33765.32602739726,9.999608609217493,4.0,4.0,177.59313410948783
357,0,1.561,33765.32602739726,44.99064714455764,4.0,4.0,200.2698797303159
358,0,1.5492,33765.32602739726,10.040433474717501,4.0,4.0,220.68358724768095
359,0,1.5243,33765.32602739726,64.9776515973347,4.0,4.0,248.38355486449257
360,0,1.8605,33765.32602739726,14.99593498574273,4.0,4.0,273.93229840905923
361,0,1.718,33765.32602739726,5.033969113687937,4.0,4.0,278.18330935799736
362,0,1.4273,33765.32602739726,40.00493042752961,4.0,4.0,285.393779042917
363,0,1.5491,17246.194520547946,39.91839706496591,4.0,4.0,280.3423902107687
364,0,1.2419,17246.194520547946,34.84908326534595,5.0,4.0,426.55812356551377
365,0,1.2158,33765.32602739726,59.95768978858144,5.0,4.0,450.0339136273918
366,0,1.3913,33765.32602739726,35.05914455484809,5.0,4.0,414.42978022806494
368,0,1.6234,33765.32602739726,39.93745869470913,5.0,4.0,377.47021905526094
369,0,1.5566,33765.32602739726,39.86056343044811,5.0,4.0,347.7992481204922
370,0,1.5089,43406.35616438357,59.993641407380636,5.0,4.0,298.06158287282926
371,0,1.4721,43406.35616438357,59.95948726637476,5.0,4.0,235.46295651956453
372,0,1.384,43406.35616438357,34.91698707966824,5.0,4.0,186.74943785959093
373,0,1.6596,33765.32602739726,29.968217784301956,3.0,4.0,236.65326815842522
374,0,1.5396,33765.32602739726,20.00569328588109,3.0,4.0,254.9380273898617
375,0,1.3957,33765.32602739726,45.05341722198308,3.0,4.0,283.7762355099134
376,0,1.6511,33765.32602739726,39.930952563260306,3.0,4.0,319.1873388125896
377,0,1.8375,33765.32602739726,79.33962623145892,3.0,4.0,239.28732030597155
378,0,1.7546,33765.32602739726,123.06428703411564,3.0,4.0,279.48897655823447
379,0,1.3673,28633.194520547942,99.99497859898639,5.0,4.0,418.0521080035268
380,0,1.2792,43406.35616438357,105.01623917957116,5.0,4.0,356.09994600855396
381,0,1.3989,43406.35616438357,30.013273769483188,5.0,4.0,299.88016074827743
382,0,1.4703,43406.35616438357,15.027366898194702,5.0,4.0,283.31280872018965
383,0,1.4137,43406.35616438357,20.02388946657953,5.0,4.0,269.82193751845205
385,0,1.4182,43406.35616438357,29.899755699204338,5.0,4.0,258.74664468588975
386,0,1.3928,43406.35616438357,20.02014482506276,5.0,4.0,262.01664268286584
387,0,1.3751,43406.35616438357,15.031875477047247,5.0,4.0,266.1700078021574
388,0,1.5284,31584.86301369863,20.00354920366422,5.0,4.0,255.575522602924
389,0,1.658,31584.86301369863,9.943440332465524,5.0,4.0,245.50572597164825
391,0,1.4682,31584.86301369863,44.72944754333896,5.0,4.0,241.4084827280318
392,0,1.5285,31584.86301369863,54.76477889328699,5.0,4.0,267.3622236742672
393,0,1.3905,28633.194520547942,104.95589358551125,5.0,4.0,224.64507496262956
394,0,1.6452,28633.194520547942,20.000032579971688,5.0,4.0,253.34212193387106
395,0,1.4925,7964.375342465753,64.73421161486205,5.0,4.0,270.32982082606384
397,0,1.3068,7964.375342465753,34.882302355423235,5.0,4.0,261.1443446140936
398,0,1.2303,7964.375342465753,14.859715287031332,5.0,4.0,278.8058237446724
399,0,1.1943,7964.375342465753,35.00376396254867,5.0,4.0,302.04707048652443
400,0,1.423,7964.375342465753,24.962948450834148,5.0,4.0,334.6745502872528
404,0,1.6975,28633.194520547942,9.979622530051813,4.0,4.0,255.11102564354144
405,0,1.6112,28633.194520547942,79.94240955786475,4.0,4.0,266.26352399367687
406,0,1.6198,7964.375342465753,99.03393892747144,4.0,4.0,301.0196417954139
407,0,1.3192,28633.194520547942,49.68054413999647,3.0,4.0,312.9933822544542
408,0,1.2929,28633.194520547942,34.03019229788679,3.0,4.0,301.38392712479634
414,0,1.6413,19821.895316804406,129.654946644941,6.0,4.0,55.11782622589379
415,0,1.229,19821.895316804406,24.92082710303734,6.0,4.0,130.3523459960833
416,0,1.3138,19821.895316804406,39.9858560206518,6.0,4.0,161.16221678457043
417,0,1.2923,19821.895316804406,99.94570004374658,6.0,4.0,232.04902354387636
418,0,1.3162,34000.18630136986,94.88349264839442,6.0,4.0,274.19952475655475
419,0,1.496,34000.18630136986,30.005456952037246,6.0,4.0,217.47869593363137
420,0,1.3184,34000.18630136986,94.96345901782037,6.0,4.0,167.6293913938814
421,1,1.4856,34000.18630136986,55.05249701149957,6.0,4.0,106.90637572784179
422,1,1.6559,34000.18630136986,14.973480064179302,6.0,4.0,88.3687804328391
423,1,1.4337,34000.18630136986,49.97656690203604,6.0,4.0,84.62540683019479
424,0,1.4366,19783.794520547945,89.44618130965095,3.0,4.0,409.5070737352864
425,0,1.2634,45055.38356164384,99.84121727938232,3.0,4.0,397.7529798186508
426,0,1.2998,45055.38356164384,30.00927559521391,3.0,4.0,397.96106238588845
427,0,1.3513,45055.38356164384,139.93545185049734,3.0,4.0,389.8199149943546
429,0,1.3208,20639.41597796143,49.96731936399483,10.0,4.0,221.56368260465885
430,0,1.3277,20639.41597796143,49.94350784013996,10.0,4.0,180.67231461809308
431,0,1.3054,20639.41597796143,105.01045216620061,10.0,4.0,161.8076277067655
432,0,1.2712,20639.41597796143,104.93767950497596,10.0,4.0,191.5039415517486
434,1,1.3923,20639.41597796143,50.030088872476405,10.0,4.0,179.42052558150982
435,1,1.3457,20639.41597796143,54.97632569421708,10.0,4.0,177.96312211795114
436,1,1.4497,20639.41597796143,69.97561074239668,10.0,4.0,205.5697398297692
437,1,1.6049,20639.41597796143,14.888775057902457,10.0,4.0,230.5523121876346
438,0,1.4405,34000.18630136986,493.6425058453558,4.0,4.0,370.45058902999165
440,1,1.3771,34000.18630136986,119.96895280954594,6.0,4.0,120.27141888666719
441,0,1.3174,34000.18630136986,214.54589879696286,6.0,4.0,252.07717344013125
442,0,1.3354,34000.18630136986,30.00845148302532,6.0,4.0,371.7922524125777
443,0,1.4886,34000.18630136986,69.88672415488044,6.0,4.0,417.7901893151179
444,0,1.4174,22538.05753424657,24.88199929085517,6.0,4.0,386.2869802714543
445,0,1.3394,22538.05753424657,54.92025949579549,6.0,4.0,355.9234828853153
446,0,1.3645,21420.249315068493,404.3047761807585,3.0,4.0,337.5604888461464
447,0,1.4784,19783.794520547945,69.65382420371908,3.0,4.0,393.3358387663539
448,1,1.5387,7928.208219178082,19.974856877285237,4.0,4.0,431.8648627383975
449,1,1.3431,16735.476712328767,89.9007700810005,4.0,4.0,400.52980626011623
450,1,1.1675,16735.476712328767,299.9693577326294,4.0,4.0,233.10134703956555
451,0,1.1812,16735.476712328767,164.87668193772438,4.0,4.0,234.73857997707734
452,0,1.1602,15328.780821917808,409.97670703225987,4.0,4.0,348.01656385712545
453,0,1.2237,15328.780821917808,24.981331120563237,4.0,4.0,191.8795617436811
454,0,1.1655,15328.780821917808,110.07532301547157,4.0,4.0,173.7109905992671
455,1,1.1704,7964.375342465753,524.9444321757493,4.0,4.0,269.29464716054326
456,0,1.2661,7964.375342465753,190.03310711848425,4.0,4.0,125.60773477891017
457,1,1.4329,28633.194520547942,114.59840238042635,4.0,4.0,117.02930684100406
