point_id,dsi_refined,dsi_veh,road_occluded_frac,road_occluded_frac_veh,veh_blocked_fwd,veh_blocked_bwd,road_domain_m2,valid,sight_flag,sight_flag_veh,confidence,veh_extra_occ,dsi_veh_delta
10238,1.1675,1.2853,0.0152,0.1176,0.39,0.024,624.8,True,False,False,1,0.10239999999999999,0.11780000000000013
10241,1.1517,1.3678,0.0015,0.1894,0.39,0.341,624.5,True,False,False,2,0.1879,0.21609999999999996
10242,1.1675,1.3198,0.0153,0.1477,0.585,0.146,624.8,True,False,False,1,0.1324,0.1523000000000001
10244,1.245,1.3161,0.0826,0.1445,0.366,0.098,645.5,True,False,False,1,0.06189999999999998,0.07109999999999994
10246,1.2901,1.3539,0.1218,0.1773,0.122,0.244,731.8,True,False,False,1,0.05550000000000001,0.06380000000000008
10247,1.4147,1.4673,0.2302,0.276,0.171,0.122,845.2,True,False,False,1,0.045800000000000035,0.05259999999999998
1024,1.5073,1.7571,0.3107,0.5279,0.22,0.146,1257.2,True,False,False,2,0.21720000000000006,0.24980000000000002
10250,1.3251,1.5422,0.1523,0.341,0.146,0.39,1028.5,True,False,False,1,0.18870000000000003,0.21710000000000007
10251,1.6649,1.7467,0.4477,0.5188,0.0,0.195,1599.8,True,False,False,2,0.07110000000000005,0.08179999999999987
10255,1.7304,1.9299,0.5047,0.6782,0.341,0.0,1963.8,True,False,False,2,0.1735,0.1995
10256,1.358,1.4919,0.1808,0.2973,0.878,0.0,1987.0,True,,True,2,0.11650000000000002,0.1338999999999999
10258,1.2666,1.3166,0.1014,0.1448,0.0,0.0,1943.5,True,False,False,2,0.04340000000000001,0.050000000000000044
10259,1.1638,1.3616,0.012,0.184,0.0,0.049,2427.8,True,False,False,2,0.172,0.19779999999999998
10263,1.5238,1.8143,0.325,0.5776,0.317,0.0,2425.0,True,False,False,2,0.2526,0.2905
10264,1.5796,1.8581,0.3736,0.6158,0.024,0.195,2018.2,True,False,False,0,0.24220000000000003,0.2785000000000002
10266,1.3883,1.6508,0.2072,0.4354,0.049,0.366,1289.5,True,False,False,2,0.22820000000000001,0.26249999999999996
10271,1.5848,1.7119,0.378,0.4886,0.585,0.049,886.2,True,,True,2,0.11059999999999998,0.1271
10272,1.5312,1.647,0.3315,0.4321,0.0,0.0,840.0,True,False,False,1,0.10059999999999997,0.11580000000000013
10274,1.6244,1.6938,0.4125,0.4729,0.0,0.341,761.2,True,False,False,2,0.06040000000000001,0.0693999999999999
10276,1.3617,1.4984,0.1841,0.303,0.439,0.439,653.5,True,False,False,0,0.11889999999999998,0.13670000000000004
10278,1.3616,1.4338,0.184,0.2468,0.171,0.0,649.2,True,False,False,2,0.0628,0.07220000000000004
1027,1.5472,1.6838,0.3454,0.4642,0.561,0.0,1528.0,True,False,False,1,0.11880000000000002,0.13660000000000005
10280,1.3181,1.5336,0.1462,0.3336,0.39,0.0,635.5,True,False,False,0,0.1874,0.21550000000000002
10282,1.2147,1.5103,0.0562,0.3133,0.024,0.049,623.2,True,False,False,2,0.2571,0.2956000000000001
10284,1.3539,1.5121,0.1773,0.3149,0.195,0.415,623.2,True,False,False,2,0.1376,0.1581999999999999
10287,1.1879,1.4355,0.033,0.2483,0.415,0.659,624.2,True,False,False,1,0.2153,0.24760000000000004
10288,1.1568,1.2811,0.0059,0.114,0.122,0.22,618.5,True,False,False,2,0.1081,0.12429999999999986
10289,1.1538,1.3188,0.0033,0.1468,0.0,0.0,621.8,True,False,False,2,0.14350000000000002,0.16500000000000004
10291,1.231,1.2983,0.0704,0.1289,0.0,0.293,651.5,True,False,False,2,0.05849999999999998,0.06729999999999992
10294,1.4101,1.4637,0.2262,0.2728,0.0,0.39,647.0,True,False,False,2,0.046599999999999975,0.05360000000000009
10296,1.2865,1.319,0.1187,0.147,0.0,0.0,661.8,True,False,False,1,0.028299999999999992,0.03249999999999997
10298,1.2245,1.2747,0.0648,0.1084,0.0,0.0,664.0,True,False,False,1,0.0436,0.05020000000000002
1029,1.2179,1.3657,0.0591,0.1876,0.341,0.488,1563.5,True,False,False,2,0.1285,0.14779999999999993
10301,1.4994,1.5534,0.3038,0.3508,0.122,0.0,707.8,True,False,False,1,0.046999999999999986,0.053999999999999826
10302,1.5755,1.6816,0.37,0.4623,0.22,0.244,829.0,True,False,False,1,0.0923,0.10610000000000008
10304,1.7941,1.849,0.5601,0.6079,0.268,0.39,1101.0,True,False,False,2,0.047799999999999954,0.05489999999999995
10306,1.6673,1.8064,0.4498,0.5708,0.854,0.22,1299.5,True,False,False,2,0.121,0.1391
10309,1.1845,1.4052,0.03,0.2219,0.244,0.634,1695.2,True,False,False,2,0.1919,0.2206999999999999
10311,1.1504,1.195,0.0003,0.0391,0.0,0.0,1706.8,True,True,True,2,0.0388,0.04459999999999997
10312,1.6595,1.6791,0.4431,0.4601,0.0,0.0,1667.0,True,False,False,1,0.017000000000000015,0.019600000000000062
