point_id,dsi_refined,dsi_static_n,v_pt,v_norm,veh_extra_occ,p_norm,p_resid,dsi_dynamic,dsi_t,d_near
22753,1.4066,0.2956980883337542,7533.470000966175,0.47499012482026803,0.1066999999999999,0.3354776232966733,0.8052643704642323,0.6738152206979345,0.5414742243704714,300.1233156019089
22754,1.6684,0.5973884995799615,7535.557758885722,0.47519792822786155,0.0024,0.007545888434039518,0.29869830664669966,0.3689451560360021,0.4489003262763879,295.53035599866183
22757,1.5265,0.4338672262574373,7540.452296653571,0.4756851023476342,0.0174999999999999,0.055022103164871175,0.4172618361939869,0.4405142961231385,0.4381878216701431,283.71188144665405
22760,1.4852,0.3862743538950678,7546.092577578429,0.47624650344926395,0.0251,0.07891741653932996,0.46391544752908653,0.46882320778531716,0.4399311089237299,270.7960102418344
22763,1.5965,0.5145331116173858,7549.670019701172,0.47660258144883194,0.0216999999999999,0.06822740792444033,0.44165418730560996,0.45556364817461226,0.476202960379583,262.4833265993699
22764,1.7076,0.6425613953815326,7551.042226572374,0.47673916302329944,0.0080999999999999,0.025467373464883064,0.35024766731943324,0.400591282609572,0.4852808220797582,258.34357250097753
22771,1.2123,0.07179263797035418,7559.962660239543,0.47762705165056507,0.1929,0.6065007828859262,0.9428061283262297,0.7576648558093152,0.5176095795656789,239.64898470403952
22777,1.2163,0.07640211713377981,6335.88185881336,0.3557890936552743,0.0100999999999999,0.03175561382658266,0.4035825365741274,0.38456074629242387,0.27670522608689846,466.4572748732131
22780,1.4689,0.3674907263041084,6341.342790487853,0.35633264336473525,0.013,0.04087356235104739,0.4225319663633222,0.39618463580988456,0.3861417674828629,463.8869645551083
22781,1.984,0.9610764055742435,6342.465951124053,0.35644443631031203,0.0136,0.04276003445955727,0.42713973044580117,0.3990030033798765,0.595728694147905,463.8276918394259
22784,1.7724,0.7172349578290278,6344.50109710263,0.3566470030281,0.0934,0.29366082489137124,0.8032772722036632,0.625518425071789,0.6576192115368226,465.18286801703977
22785,1.4909,0.3928428617029491,6345.127353924458,0.35670933702783525,0.1159999999999999,0.3647179409785764,0.8619398686787236,0.6608581170816701,0.5670527776991177,465.74108510664297
22787,1.3318,0.20950082797769498,6346.310519382052,0.3568271025079865,0.0878,0.2760537518786124,0.7854221863840571,0.614841343001381,0.47297216274309095,467.01185701181345
22790,1.396,0.2834829685506761,6347.926802041108,0.35698797798164245,0.0431,0.13551157979462636,0.6003916599470107,0.5035169945247941,0.42650508543385285,469.2980013475819
22792,1.4283,0.320704512795338,6348.899068362057,0.3570847517755243,0.0503,0.1581492450967449,0.6369081903006566,0.525538461767654,0.45384657962734337,471.0813521976363
22794,1.2746,0.14358527594070836,6349.802093982074,0.35717463374853803,0.0712,0.2238613568765057,0.7281419191337404,0.5804969395504298,0.42757785728702735,473.04440108470766
22797,1.2274,0.08919342181228605,6351.061320121,0.35729996987115525,0.0867999999999999,0.2729096316977623,0.781620781016012,0.6127410981803589,0.4294994114515334,476.36699810583406
22798,1.1753,0.02915495570866721,6351.451413859487,0.35733879755676934,0.0892999999999999,0.28076993214988677,0.7899147563644742,0.6177495247590077,0.41174142559138854,477.574099709444
22800,1.6675,0.5963513667681907,6352.193058711845,0.35741261661696844,0.1918,0.6030422506869915,0.9678320469991937,0.7248851137070681,0.679898302278461,480.135427115033
22803,1.1536,0.00414853124708312,6353.224535907765,0.35751528392056736,0.1421,0.4467794776987565,0.9178378067042967,0.6948294426363725,0.4530911236501212,484.33928176208497
22805,1.1694,0.02235597394261439,6353.870484691015,0.35757957794480905,0.1475999999999999,0.46407213869343006,0.9256422071189955,0.6995532807076693,0.46253422333990013,487.3782386560296
22808,1.1683,0.021088367172672227,6354.798568538717,0.35767195406958824,0.0941,0.2958617090179661,0.8051203778366548,0.6270359051773623,0.4149542668757208,492.28249918336456
22809,1.1959,0.05289377340030914,6355.101482825484,0.35770210441432393,0.0816,0.25656020675734365,0.7646296509618707,0.6026724874359471,0.41024993752347383,494.00765462810114
22812,1.4227,0.31425124196654236,6355.864653227253,0.35777806600382495,0.0143,0.04496091858615213,0.43209307683446607,0.40251570252387087,0.3716231413288059,498.5725410364693
22814,1.5541,0.4656726324850742,6355.747807245178,0.35776643582725537,0.0494999999999999,0.15563394895206475,0.6323004262181776,0.5230358980425905,0.5029587550974598,502.912685339353
22818,1.4605,0.35781082006091436,6348.536720717452,0.3570486857764076,0.0701,0.2204028246775709,0.7236781476788389,0.5777596218416712,0.5007775412184063,515.8349587008657
22819,1.4947,0.3972218669082035,6343.573992400673,0.3565547243618528,0.0502999999999999,0.1581492450967446,0.6367641976730791,0.525240827295211,0.4804341911597584,520.733542226114
22822,1.4016,0.28993623937947205,6328.302776733584,0.3550347154451082,0.0363,0.11413156256484772,0.5649406750374381,0.4813981031196908,0.4143864508106142,535.4405421183476
22823,1.1607,0.012330356762163732,6323.080619625286,0.3545149319817417,0.0527,0.1656951335307844,0.6498963253081442,0.532334530764236,0.3503330698635107,540.3464550874928
22826,1.1568,0.007836114577823728,6306.564127330879,0.35287097539648127,0.0672,0.2112848761531065,0.7125043197788273,0.5693702487146536,0.37283330176676316,555.1191864895095
22828,1.15,0.0,6293.887315311955,0.35160919848724753,0.0836,0.2628484471190432,0.7734707982951273,0.6055698815715912,0.39362042302153427,565.1062925024686
22830,1.15,0.0,6280.913012802883,0.3503178110867779,0.0726,0.22826312512969543,0.7351687593595208,0.581998081946969,0.37829875326552986,575.0938466396935
22832,1.1518,0.00207426562354156,7235.421755681561,0.4453241178481403,0.0491,0.15437630087972515,0.6073897016472757,0.5428875992952198,0.3536029325101324,585.081825952349
22835,1.15,0.0,7227.7962240610095,0.4445651163180174,0.0335,0.10532802605846829,0.5241331643819837,0.4924650812525251,0.3201023028141413,596.5263744324781
22836,1.15,0.0,7225.077087527935,0.44429446911702036,0.0055,0.017292660994673897,0.3414065199861767,0.3823559237402525,0.24853135043116414,598.1528465761338
22840,1.15,0.0,7213.281685954087,0.44312042273068886,0.0194,0.06099593150848611,0.44174058288215645,0.44228975914187235,0.287488343442217,605.0096160906172
22841,1.2696,0.13782342698642644,7210.091591330546,0.44280289907188214,0.0933,0.2933464128732863,0.7802384517912683,0.6459391018089525,0.4680986156210684,606.8147060559892
22843,1.4187,0.3096417628031167,7203.3111315551005,0.44212801112956085,0.0445,0.13991334804781608,0.5850420458472526,0.5281622600296113,0.4516800860003382,610.6774217978082
