point_id,dsi_refined,dsi_static_n,v_pt,v_norm,veh_extra_occ,p_norm,p_resid,dsi_dynamic,dsi_t,d_near,disp,dyn_conf
85830,1.1675,0.020166471339987203,5523.070711823875,0.27488655007348856,0.0488,0.15343306482547023,0.6481972123027301,0.49961956873549196,0.3318109846470653,23.105930510391985,12.754836138446917,1
85833,1.1612,0.012906541657591872,5670.475306815825,0.2895583550981384,0.0329,0.1034415539499584,0.5620896210114043,0.4536221771779244,0.29937170474580804,31.332944669336065,12.754836138446917,1
85834,1.1546,0.005300901037939656,5732.916278808491,0.2957733700824138,0.0414,0.1301665754871817,0.6072457090196982,0.483279718122659,0.3159871321430072,35.0183232354335,12.754836138446917,1
85836,1.1651,0.017400783841931874,5864.190455503237,0.3088396461055047,0.0825,0.25938991492010843,0.7787409284644626,0.5917202180855974,0.3907084161003145,43.18960573251394,12.754836138446917,1
85838,1.1582,0.00944943228502252,5994.306915821727,0.3217906897035331,0.1312,0.4125085677274937,0.9033521483700034,0.6718906878207482,0.44003624838324423,51.877235832993144,12.754836138446917,1
85840,1.1559,0.00679898176605282,6118.114429455303,0.3341137770585623,0.1926,0.6055575468316713,0.9699631378873401,0.7168950922774865,0.46836145359848474,60.68462955758999,12.754836138446917,1
85841,1.1502,0.000230473958171256,6178.61628547537,0.34013578359916125,0.1853,0.5826054695114677,0.9649809929731598,0.7162925996423083,0.4656708556528603,65.2174255699822,12.754836138446917,1
85844,1.15,0.0,6352.043203477755,0.3573977008894322,0.1632,0.5131204135146873,0.943526091464117,0.7102469920153924,0.46166054481000507,79.10752516905255,12.754836138446917,1
85846,1.1571,0.008181825515080612,6456.619769478702,0.36780665039739774,0.1139,0.35811528859879216,0.8511116230848981,0.6587562439552729,0.4310551975012056,87.91261601900565,12.754836138446917,1
85847,1.15,0.0,6507.770819526674,0.37289793152842987,0.0603,0.1895904469052429,0.673626310332911,0.5539364155687275,0.3600586701196729,92.4063948751015,12.754836138446917,1
85849,1.15,0.0,6607.041461777471,0.38277875992360305,0.0371,0.11664685870952755,0.55630111738279,0.48723921911403356,0.3167054924241218,101.46761014928644,12.754836138446917,1
